Company,Symbol,Industry
HDFC Bank (HDFCBANK),HDFCBANK,Financial Services
Infosys (INFY),INFY,Information Technology
ITC (ITC),ITC,FMCG
Bharti Airtel (BHARTIARTL),BHARTIARTL,Telecommunication
Titan Company (TITAN),TITAN,Consumer Durables
Tata Steel (TATASTEEL),TATASTEEL,Metals & Mining
UltraTech Cement (ULTRACEMCO),ULTRACEMCO,Construction Materials
NTPC (NTPC),NTPC,Power
Adani Ports and SEZ (ADANIPORTS),ADANIPORTS,Services
Oil & Natural Gas Corp. (ONGC),ONGC,Oil & Gas
Dr. Reddy's Laboratories (DRREDDY),DRREDDY,Healthcare
Eicher Motors (EICHERMOT),EICHERMOT,Automobile
UPL (UPL),UPL,Chemicals
